UniProt	Protein	Gene	Description	Infected_8h_1	Infected_8h_2	Infected_8h_3	Infected_8h_4	Infected_8h_5	Mock_8h_1	Mock_8h_2	Mock_8h_3	Mock_8h_4	Mock_8h_5	Infected_16h_1	Infected_16h_2	Infected_16h_3	Infected_16h_4	Infected_16h_5	Mock_16h_1	Mock_16h_2	Mock_16h_3	Mock_16h_4	Mock_16h_5	Infected_24h_1	Infected_24h_2	Infected_24h_3	Infected_24h_4	Infected_24h_5	Mock_24h_1	Mock_24h_2	Mock_24h_3	Mock_24h_4	Mock_24h_5
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18105940.0	0.0	28823056.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14871833.0	0.0	21081640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1857593090.0	1016543300.0	2261045760.0	1639838460.0	1280489730.0	2003433340.0	1781183360.0	1971764610.0	1611200900.0	3242729730.0	1568162940.0	1262417920.0	1590314500.0	1636935300.0	2477201660.0	1551191420.0	1834615680.0	1391560700.0	2232451070.0	2613318400.0	1351680130.0	1894101120.0	1385055230.0	1450224640.0	1329821440.0	2046402050.0	1758721280.0	1887670660.0	1933000060.0	1503032960.0
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	119347032.0	170967856.0	128235472.0	159041520.0	127137752.0	112547256.0	100468776.0	146426048.0	148190800.0	145377952.0	119073040.0	116983096.0	118736272.0	129474376.0	92952808.0	121854384.0	130269416.0	114066240.0	112708848.0	146466352.0	142806032.0	136903984.0	153179136.0	142477936.0	156997744.0	137829872.0	135271072.0	155324160.0	133145592.0	135270864.0
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27702048.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23697414.0	34770900.0	0.0	0.0
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	50987076.0	0.0	0.0	0.0	17681102.0	0.0	45372804.0	0.0	38991116.0	0.0	0.0	31900622.0	67055852.0	0.0	0.0	39022456.0	0.0	48811408.0	24953736.0	67750608.0	0.0	30272562.0	33972708.0	36186536.0	36490776.0	0.0	43083760.0	42163116.0	0.0	0.0
O00410	IPO5_HUMAN	IPO5	Importin-5	143626224.0	198669488.0	203091168.0	241642224.0	178064464.0	238773712.0	204307360.0	211132272.0	221609232.0	228823360.0	181712848.0	189327808.0	205561424.0	219484272.0	173312176.0	193354752.0	177982960.0	211335184.0	189146656.0	202732368.0	251452320.0	215980240.0	265116176.0	227463424.0	244095760.0	233762992.0	235255952.0	226582448.0	233159312.0	247013728.0
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	30079992.0	0.0	0.0	34662548.0	60178568.0	0.0	34498084.0	0.0	0.0	54085220.0	77703856.0	0.0	0.0	0.0	0.0	38070516.0	62611532.0	68755624.0	70685768.0	0.0	58456028.0	0.0	0.0	0.0	45423228.0	0.0	0.0	0.0	0.0	0.0
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	13878154.0	0.0	35937376.0	41183268.0	0.0	31576306.0	23410042.0	36654168.0	27536024.0	62189192.0	29198122.0	32279494.0	18007990.0	31731052.0	27962850.0	23060566.0	25175248.0	32420668.0	39985832.0	27973942.0	28758286.0	27358744.0	40193004.0	34328960.0	40872536.0	39073152.0	33215594.0	30894104.0	37363400.0	35705572.0
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	134970848.0	126515472.0	161397552.0	148814800.0	127464552.0	129445848.0	144310464.0	108043680.0	142801232.0	130905024.0	99830896.0	138531312.0	128104848.0	120056792.0	102155544.0	131718664.0	120989976.0	143453920.0	149822368.0	125605848.0	133482152.0	124908472.0	138769600.0	129147168.0	119757304.0	129293088.0	135588640.0	142293488.0	127640776.0	132180448.0
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	41458128.0	47519564.0	41011776.0	63719236.0	22219780.0	45946984.0	35156252.0	45441876.0	50276648.0	54589704.0	40321956.0	45112044.0	51300060.0	62093708.0	60103104.0	54141280.0	45550776.0	57155564.0	44391264.0	85736904.0	67491144.0	58331280.0	65788192.0	57716604.0	74048080.0	54410736.0	77844240.0	61078904.0	77883264.0	66622612.0
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	0.0	0.0	0.0	0.0	0.0	0.0	19173044.0	0.0	41158468.0	0.0	12772305.0	34904608.0	81312232.0	53962192.0	26316466.0	37794780.0	29446432.0	63244868.0	31048756.0	84246840.0	58556396.0	0.0	96321160.0	0.0	0.0	38088528.0	93035888.0	90823840.0	107771080.0	0.0
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	0.0	0.0	37156164.0	65305288.0	0.0	0.0	0.0	0.0	0.0	37349080.0	0.0	0.0	43761820.0	54160984.0	55642188.0	46087716.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34645472.0	70944808.0	45038960.0	44312144.0	346661088.0	74227976.0	54847140.0
O00468	AGRIN_HUMAN	AGRN	Agrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	192201392.0	214298544.0	217424112.0	266336464.0	184478944.0	169143632.0	182147840.0	219826544.0	238057440.0	238891456.0	221983136.0	223651072.0	232984176.0	252394336.0	241330560.0	235072112.0	227822992.0	232964640.0	206159232.0	206537952.0	240122736.0	242369568.0	233241120.0	224197904.0	233758080.0	213875344.0	244193184.0	242626688.0	203335168.0	211763584.0
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	0.0	0.0	0.0	22355718.0	0.0	20444810.0	0.0	17687146.0	21076044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16125605.0	0.0	12782559.0	16997570.0	16726079.0	0.0	22027918.0	15636262.0	18390198.0	0.0	24731008.0	23444380.0	20227144.0	0.0
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	188913328.0	190641408.0	183180912.0	215148192.0	212763024.0	195113184.0	247592032.0	205596032.0	196426944.0	213174736.0	211905600.0	225531648.0	188687408.0	207436848.0	217407440.0	196812032.0	226127424.0	187999472.0	178748416.0	164892816.0	267477008.0	198061920.0	217633744.0	178832736.0	238458624.0	235571792.0	199382048.0	195909088.0	188879776.0	161644256.0
