UniProt	Protein	Infected_8h_1	Infected_8h_2	Infected_8h_3	Infected_8h_4	Infected_8h_5	Mock_8h_1	Mock_8h_2	Mock_8h_3	Mock_8h_4	Mock_8h_5	Infected_16h_1	Infected_16h_2	Infected_16h_3	Infected_16h_4	Infected_16h_5	Mock_16h_1	Mock_16h_2	Mock_16h_3	Mock_16h_4	Mock_16h_5	Infected_24h_1	Infected_24h_2	Infected_24h_3	Infected_24h_4	Infected_24h_5	Mock_24h_1	Mock_24h_2	Mock_24h_3	Mock_24h_4	Mock_24h_5
A1L020	MEX3A_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1L0T0	HACL2_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1X283	SPD2B_HUMAN	79705024.0	70444632.0	76676840.0	74917896.0	59992288.0	68734744.0	71836320.0	76980520.0	65663168.0	72424456.0	67179248.0	0.0	44593700.0	47809956.0	50086956.0	75870984.0	67654144.0	73189008.0	53533720.0	42887032.0	43203796.0	54044360.0	65268220.0	59197892.0	52831844.0	61804804.0	59178464.0	58239672.0	64544152.0	59994476.0
A2RRD8	ZN320_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RTX5	SYTC2_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RUC4	TYW5_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RUS2	DEND3_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3KN83	SBNO1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4D1P6	WDR91_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5D8V6	VP37C_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5PLN9	TPC13_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5YKK6	CNOT1_HUMAN	30872754.0	32673576.0	35004512.0	33459578.0	24989484.0	33040194.0	28964098.0	33178860.0	25187810.0	26831216.0	42937900.0	41974764.0	42232808.0	32497224.0	42594828.0	36583368.0	33743656.0	34043096.0	40583276.0	41995560.0	26739404.0	28059492.0	25999810.0	24173162.0	44160028.0	33715740.0	36577844.0	35441396.0	36119896.0	29179860.0
A6NCE7	MP3B2_HUMAN	164922944.0	158343056.0	177229456.0	185424528.0	153334480.0	159831920.0	134143688.0	162305360.0	201618496.0	177900240.0	91584000.0	91329880.0	112392440.0	140380368.0	171246960.0	161063792.0	163746160.0	159814048.0	166266352.0	180703104.0	0.0	108095824.0	98218088.0	114962816.0	82205104.0	126703680.0	154233776.0	176492080.0	0.0	191709792.0
A6NDG6	PGP_HUMAN	31824224.0	33504932.0	39956580.0	20781080.0	27958122.0	50403320.0	29928666.0	41280992.0	24729854.0	26933072.0	29537028.0	35522404.0	36589068.0	35717000.0	45408696.0	25836468.0	0.0	35469016.0	52499828.0	33623188.0	48136184.0	33333332.0	29833216.0	44463568.0	27537244.0	54299468.0	35157684.0	33163750.0	33542262.0	32339026.0
A6NDU8	RIMC1_HUMAN	0.0	0.0	0.0	0.0	0.0	21681534.0	0.0	24439076.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31552548.0	0.0	30872602.0	26253590.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NHR9	SMHD1_HUMAN	22657788.0	33963852.0	31361354.0	27712664.0	35369968.0	32761424.0	29307730.0	38489228.0	33419252.0	27656070.0	36454704.0	37341764.0	45157212.0	39994556.0	38731816.0	39230208.0	39504144.0	37119080.0	38006572.0	33379418.0	21921744.0	31120992.0	22884592.0	30847330.0	22711324.0	30177834.0	23451238.0	37066908.0	31794694.0	26770778.0
A6NHX0	CAST2_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NIH7	U119B_HUMAN	0.0	20468728.0	0.0	9312232.0	24033146.0	0.0	0.0	19988604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28397868.0	0.0	21631700.0	23225076.0	0.0	21031168.0	17573810.0	22697538.0	20012254.0	0.0	0.0	0.0	24891798.0	0.0	23904860.0
A6NKF1	SAC31_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6ZKI3	RTL8C_HUMAN	0.0	35054888.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19484390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23137026.0	0.0	0.0
A7E2V4	ZSWM8_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A8CG34	P121C_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A8MWD9	RUXGL_HUMAN	0.0	83041272.0	18002462.0	25946170.0	0.0	0.0	0.0	27374868.0	0.0	0.0	41135848.0	0.0	0.0	28768604.0	0.0	0.0	0.0	0.0	0.0	25066466.0	0.0	0.0	0.0	0.0	47123316.0	22532384.0	0.0	0.0	0.0	0.0
A8MXV4	NUD19_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A9UHW6	MI4GD_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3EWG3	FM25A_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3KU38	IQIP1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4AMC7	WASH3_HUMAN	44616448.0	53310132.0	37151672.0	37016236.0	65189744.0	35624788.0	32693366.0	41176076.0	34817428.0	32306322.0	49592704.0	0.0	51637348.0	43657372.0	49331688.0	51692556.0	43769104.0	44575740.0	57201788.0	55057088.0	41950088.0	34871220.0	33614320.0	37732060.0	50208568.0	51638920.0	47309592.0	46352312.0	44387192.0	40603956.0
C9JLW8	MCRI1_HUMAN	125757920.0	134588224.0	127596808.0	106260096.0	130631368.0	107903712.0	109763632.0	104675768.0	97609440.0	144461152.0	71515736.0	51944060.0	109757888.0	75733064.0	0.0	117560432.0	65875784.0	71239440.0	97073880.0	107288696.0	92607368.0	75269152.0	121445792.0	81726480.0	207988896.0	50224540.0	108310728.0	125938440.0	142540800.0	98940536.0
E9PAV3	NACAM_HUMAN	1507514750.0	1488033020.0	1553694980.0	1263516930.0	1275799680.0	1479993860.0	1615775360.0	1757009660.0	1315959680.0	1156903420.0	1190019460.0	1113176700.0	915645760.0	867926850.0	1112640510.0	1232930180.0	1168002690.0	1019813180.0	1157900030.0	898479420.0	999878210.0	992822590.0	724931260.0	1043477440.0	1356250750.0	1141409540.0	1119137920.0	1132908800.0	997686850.0	1196584830.0
E9PRG8	CK098_HUMAN	56171340.0	25825484.0	31654700.0	0.0	43429032.0	31880852.0	38083660.0	0.0	30895668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25765590.0	0.0	20170452.0	72128528.0	25872204.0	33494176.0	0.0	28152420.0	41826912.0	25655212.0	19289760.0	19822130.0	22469736.0
H7BZ55	CRCC2_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L0R819	ASURF_HUMAN	23376142.0	29221250.0	0.0	32310984.0	35978824.0	0.0	39973476.0	0.0	27042802.0	40336552.0	0.0	0.0	0.0	14532528.0	0.0	27771048.0	0.0	0.0	0.0	0.0	23797258.0	0.0	0.0	25026110.0	21284836.0	21941074.0	24172362.0	0.0	0.0	24090396.0
O00115	DNS2A_HUMAN	260165616.0	273966528.0	282543008.0	226777792.0	304974592.0	280354432.0	242871376.0	260118288.0	0.0	256724160.0	260424048.0	0.0	292763968.0	347842848.0	398920352.0	253697344.0	171677936.0	254602560.0	318056704.0	244607424.0	266461760.0	309860640.0	213712160.0	312327744.0	279417216.0	305713920.0	294806560.0	351646432.0	311778080.0	292725184.0
O00116	ADAS_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00139	KIF2A_HUMAN	0.0	35046068.0	34214224.0	31356792.0	37433824.0	34741484.0	50927324.0	35329612.0	46351812.0	45977360.0	37117992.0	18077826.0	41024076.0	25408560.0	40393920.0	27523390.0	33954048.0	33261050.0	38508352.0	33378782.0	0.0	28578534.0	27373940.0	28512756.0	0.0	22081984.0	28385162.0	25737146.0	28336274.0	26095162.0
O00142	KITM_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00148	DX39A_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	19981146.0	60994396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40665988.0	0.0	0.0	0.0	0.0	77468712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00151	PDLI1_HUMAN	1715394300.0	1536085500.0	1874023420.0	1384780420.0	1314288380.0	1862099200.0	2116344700.0	2153368830.0	1354321280.0	1706165250.0	1271521020.0	991189120.0	1372304770.0	1220570880.0	1373748350.0	1906667900.0	1451627650.0	1436393980.0	1765725700.0	1587212290.0	1459325950.0	1420319360.0	1978745470.0	1341784960.0	1646709890.0	1197992060.0	1855667580.0	1897866110.0	1669174910.0	1953412220.0
O00154	BACH_HUMAN	226797792.0	328891584.0	169995328.0	307524832.0	277236960.0	353782944.0	262924752.0	292329184.0	248527696.0	218378784.0	388960064.0	350886016.0	343136672.0	351280736.0	258505664.0	370834304.0	241573936.0	319451488.0	403394592.0	345791488.0	297652032.0	245762352.0	236962512.0	262005680.0	251234864.0	315680320.0	255573424.0	306013632.0	319164160.0	274611264.0
O00159	MYO1C_HUMAN	92314256.0	145609456.0	143023232.0	186693024.0	107639888.0	67109056.0	77760400.0	86111360.0	65370912.0	90544088.0	151384944.0	173035664.0	197113616.0	151141360.0	155800128.0	89760000.0	85899320.0	81194504.0	107845960.0	93958744.0	125888472.0	129772688.0	122634456.0	117298528.0	170773088.0	94136776.0	98821472.0	116303864.0	104569664.0	72373352.0
O00161	SNP23_HUMAN	0.0	19236096.0	30647534.0	0.0	0.0	19375774.0	17319522.0	28061302.0	22346502.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00165	HAX1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00170	AIP_HUMAN	103722464.0	110394528.0	77984096.0	104297448.0	66602388.0	106234640.0	74661912.0	99015200.0	77793936.0	73369520.0	112509264.0	73707384.0	96898248.0	101380424.0	75504336.0	132527928.0	135680896.0	135341280.0	107095104.0	132951032.0	91558528.0	64473148.0	106425776.0	71761992.0	125845008.0	0.0	109106192.0	119603520.0	123261200.0	114175184.0
O00178	GTPB1_HUMAN	0.0	30316772.0	22281160.0	0.0	10429845.0	18129718.0	0.0	25810956.0	0.0	0.0	0.0	0.0	29028396.0	27038658.0	0.0	34530560.0	0.0	27472254.0	29350932.0	26476650.0	13123497.0	16105969.0	15382551.0	13328847.0	0.0	41853312.0	0.0	39371392.0	31506398.0	21973724.0
O00186	STXB3_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14706256.0	15406685.0	23098474.0	20865684.0	10592656.0	17310114.0	0.0	0.0	0.0	12052614.0	8221587.5	0.0	0.0	0.0	0.0	0.0	0.0	24491050.0	11282727.0	0.0
O00189	AP4M1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00193	SMAP_HUMAN	94400048.0	127342384.0	64784068.0	67322440.0	126509240.0	93347800.0	103028824.0	119039200.0	97718520.0	112071752.0	85022224.0	53801240.0	81236168.0	83909376.0	91127432.0	78610360.0	54138332.0	70616128.0	60572880.0	71194384.0	95564480.0	112270128.0	102269240.0	85647960.0	173436208.0	63391932.0	78276312.0	93835296.0	78145800.0	76024720.0
O00203	AP3B1_HUMAN	113958720.0	131110216.0	124731088.0	129754808.0	130131400.0	122291720.0	113601680.0	81935360.0	92965056.0	102264008.0	129058160.0	133878128.0	128734744.0	116966920.0	120604752.0	135763792.0	127613584.0	141573648.0	119644696.0	147902560.0	107077968.0	129348328.0	104891000.0	130876368.0	124287328.0	149279376.0	141619552.0	124928928.0	127228160.0	125070616.0
O00213	APBB1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00214	LEG8_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00231	PSD11_HUMAN	234840144.0	296433568.0	245967952.0	285981792.0	266803584.0	273491424.0	224928608.0	294093120.0	249221312.0	208665984.0	365813184.0	369331456.0	384469280.0	293903616.0	241368464.0	303827712.0	259702368.0	257504144.0	308814144.0	354397408.0	239346224.0	251812336.0	219150960.0	229006032.0	307013920.0	260202672.0	258087680.0	261551744.0	243371168.0	253128560.0
O00232	PSD12_HUMAN	184899744.0	186976288.0	167383344.0	244284608.0	191049376.0	178226688.0	171283392.0	224145792.0	152984720.0	194095616.0	200752384.0	219501664.0	218505104.0	232023536.0	207528192.0	225883600.0	189362464.0	206872896.0	222695648.0	216389600.0	203804688.0	219403344.0	159202928.0	197315056.0	196640832.0	185432912.0	213915024.0	205712288.0	197584192.0	203535984.0
O00233	PSMD9_HUMAN	289179136.0	267639344.0	243442704.0	239130656.0	273858048.0	211817712.0	338868960.0	145396848.0	257702864.0	209956624.0	191300144.0	170697344.0	208094336.0	222863040.0	201720432.0	314520640.0	196072064.0	217661856.0	245457616.0	200539568.0	158477856.0	258179728.0	252730976.0	240466784.0	303969472.0	261610256.0	243988864.0	262026016.0	287394944.0	294467232.0
O00244	ATOX1_HUMAN	207221504.0	166565504.0	144898080.0	62987852.0	102408928.0	188513904.0	192034384.0	195472736.0	155394112.0	147605792.0	63543580.0	60569156.0	63088488.0	76238984.0	86847728.0	150258784.0	103271272.0	100606504.0	115767768.0	136049056.0	79863112.0	95521104.0	125556800.0	93342184.0	0.0	63168120.0	136915728.0	168631232.0	141137632.0	152459840.0
O00257	CBX4_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00264	PGRC1_HUMAN	0.0	0.0	0.0	0.0	0.0	52534640.0	0.0	81430456.0	0.0	39412704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91044912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36265212.0	47286808.0	0.0	0.0
O00267	SPT5H_HUMAN	75805784.0	94467704.0	75078136.0	73694968.0	86484488.0	61557976.0	75041912.0	103935856.0	82956664.0	121153872.0	62165332.0	76063504.0	60876352.0	68386192.0	54299500.0	46500536.0	65046856.0	63682808.0	58972516.0	48601044.0	56094848.0	74494200.0	63339120.0	78995416.0	87611664.0	63487952.0	63377928.0	65019532.0	68672944.0	60721608.0
O00268	TAF4_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00273	DFFA_HUMAN	123647816.0	88350048.0	101683656.0	76054320.0	151221328.0	123610456.0	155568368.0	141504176.0	109909488.0	149455360.0	70728248.0	78782728.0	79957592.0	49330296.0	71871840.0	83174392.0	88553848.0	76885056.0	81928504.0	95728360.0	119715472.0	91964616.0	94710784.0	107004064.0	111845792.0	144250592.0	91900288.0	79102280.0	97347344.0	89163704.0
O00291	HIP1_HUMAN	0.0	54961104.0	0.0	0.0	27332888.0	0.0	0.0	25433392.0	33577784.0	23978812.0	45858816.0	20780016.0	40064672.0	0.0	0.0	0.0	0.0	20332738.0	29111578.0	0.0	0.0	0.0	0.0	24137532.0	20118820.0	0.0	0.0	0.0	0.0	0.0
O00299	CLIC1_HUMAN	1226311810.0	1657132800.0	985040900.0	2055579010.0	884456510.0	1456681860.0	1202044420.0	1699073410.0	1741507070.0	918676610.0	2260503810.0	1986979200.0	1608374020.0	1584499580.0	1115272960.0	1552348800.0	1789019390.0	1399280260.0	1588299140.0	1593840260.0	1042950780.0	800949700.0	1275119870.0	822716420.0	1650908160.0	1608914180.0	1209862020.0	1245864320.0	1241311100.0	1270947330.0
O00303	EIF3F_HUMAN	190131472.0	273953216.0	198559488.0	244628112.0	237557968.0	195268112.0	138531536.0	185619888.0	179922096.0	191119552.0	310523872.0	421098816.0	286782848.0	284251552.0	200237872.0	369977792.0	143228448.0	208349584.0	276431264.0	338947840.0	227527648.0	251097568.0	102489856.0	194194864.0	208557280.0	339206848.0	190738576.0	311776224.0	271365728.0	227396672.0
O00329	PK3CD_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00330	ODPX_HUMAN	0.0	19074462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31653304.0	0.0	17424988.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00391	QSOX1_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14100058.0	26490872.0	0.0	0.0	24189848.0	0.0	0.0	0.0	0.0	0.0	24490070.0	20696504.0	28148366.0	0.0	15848977.0
O00399	DCTN6_HUMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23051936.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26324396.0	0.0	24434992.0	0.0	0.0	0.0	0.0	0.0	0.0
O00401	WASL_HUMAN	72184120.0	84756712.0	59547428.0	0.0	74910376.0	72937240.0	67320960.0	66127304.0	49653984.0	80217008.0	44281444.0	0.0	57852804.0	53718540.0	53528544.0	61184276.0	56006792.0	53828588.0	59323284.0	65570924.0	55546952.0	60066992.0	63433624.0	75674512.0	49481868.0	69638424.0	54936528.0	50101952.0	63884676.0	49807376.0
O00410	IPO5_HUMAN	243319680.0	295741280.0	288421504.0	251592656.0	205407136.0	251902928.0	225635504.0	256895488.0	284653440.0	213542960.0	329414720.0	271199776.0	270780864.0	248119280.0	235188192.0	281715328.0	268592960.0	284708864.0	272440160.0	271099904.0	241836416.0	273794784.0	244996944.0	264802000.0	262509872.0	261689440.0	244636976.0	271895936.0	289044352.0	286474656.0
O00418	EF2K_HUMAN	0.0	15092992.0	0.0	30402196.0	0.0	0.0	0.0	21342372.0	0.0	0.0	0.0	0.0	0.0	11810687.0	0.0	0.0	0.0	0.0	0.0	29264794.0	0.0	0.0	0.0	0.0	10876192.0	0.0	0.0	14155634.0	16176334.0	0.0
O00422	SAP18_HUMAN	55832280.0	48812516.0	40372920.0	42809968.0	0.0	69889600.0	88879704.0	0.0	89970832.0	0.0	61083576.0	64037836.0	76568656.0	0.0	104439256.0	77233848.0	0.0	93176280.0	0.0	59204468.0	215164576.0	115394464.0	66302000.0	121833968.0	129102096.0	64818112.0	83312984.0	56765236.0	0.0	72989664.0
O00423	EMAL1_HUMAN	67201544.0	67340304.0	57046260.0	66729876.0	57253152.0	56290236.0	51584880.0	57066952.0	70803968.0	73798128.0	78784904.0	68871800.0	58864204.0	65428364.0	53761212.0	88302616.0	76589952.0	73772672.0	67048120.0	64585224.0	69230504.0	56687252.0	68934352.0	64586464.0	69172264.0	72552664.0	70164304.0	81682824.0	81620536.0	65384164.0
